epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.2091,3.22835,3.13159,3.48089,0.15487,0.15583,0.06191,0.01516,3.6506,3.50279,3.51929,0.066781,3.32522e-05,3.32522e-05
2,63.6459,2.78977,2.6336,3.16206,0.2346,0.29508,0.13541,0.04121,3.05882,2.70451,3.08538,0.033481,6.65693e-05,6.65693e-05
3,94.1602,2.47946,2.37381,2.89768,0.37587,0.35086,0.28858,0.09762,2.6092,2.28581,2.82621,0.000180924,9.98213e-05,9.98213e-05
4,130.592,2.32112,2.2025,2.69012,0.52009,0.43212,0.41492,0.16431,2.30175,2.0506,2.62738,9.97803e-05,9.97803e-05,9.97803e-05
5,168.349,2.16995,2.06744,2.54806,0.5743,0.44837,0.46557,0.19751,2.15307,1.94802,2.4869,9.96097e-05,9.96097e-05,9.96097e-05
6,206.589,2.04363,1.94999,2.41335,0.52443,0.45124,0.43923,0.19254,2.09951,1.78752,2.38403,9.93906e-05,9.93906e-05,9.93906e-05
7,244.824,1.95796,1.85958,2.33079,0.56935,0.48757,0.50103,0.23099,1.96401,1.79917,2.26772,9.91232e-05,9.91232e-05,9.91232e-05
8,282.801,1.89942,1.76622,2.25126,0.67529,0.52964,0.59147,0.28329,1.85366,1.58265,2.19933,9.88079e-05,9.88079e-05,9.88079e-05
9,321.544,1.87471,1.73859,2.20347,0.65979,0.56214,0.62265,0.30644,1.83865,1.53362,2.15007,9.84449e-05,9.84449e-05,9.84449e-05
10,372.006,1.80678,1.64606,2.14932,0.68181,0.58126,0.64219,0.33304,1.73497,1.54686,2.03818,9.80345e-05,9.80345e-05,9.80345e-05
11,425.892,1.79473,1.62799,2.10848,0.65139,0.62141,0.64431,0.33582,1.67364,1.46597,2.00214,9.75773e-05,9.75773e-05,9.75773e-05
12,462.798,1.74359,1.56576,2.05641,0.63533,0.62046,0.63337,0.32205,1.6348,1.48296,1.94753,9.70736e-05,9.70736e-05,9.70736e-05
13,499.509,1.72978,1.54712,2.03066,0.6672,0.67274,0.64877,0.34221,1.66373,1.36307,1.96222,9.65239e-05,9.65239e-05,9.65239e-05
14,536.272,1.68952,1.48434,1.98759,0.72928,0.60038,0.67895,0.35534,1.67523,1.27306,1.95322,9.59289e-05,9.59289e-05,9.59289e-05
15,572.883,1.67366,1.465,1.98064,0.74002,0.6262,0.72212,0.37265,1.61769,1.27962,1.9457,9.52889e-05,9.52889e-05,9.52889e-05
16,610.029,1.64942,1.42692,1.9441,0.73025,0.69694,0.72855,0.40436,1.56615,1.22503,1.8933,9.46048e-05,9.46048e-05,9.46048e-05
17,647.786,1.64275,1.40461,1.91771,0.77326,0.69885,0.7562,0.42026,1.53737,1.18747,1.86374,9.38772e-05,9.38772e-05,9.38772e-05
18,684.399,1.61258,1.38922,1.90783,0.75731,0.71128,0.74667,0.40609,1.54944,1.20516,1.86918,9.31067e-05,9.31067e-05,9.31067e-05
19,720.968,1.60383,1.35678,1.88814,0.75764,0.71129,0.76178,0.40822,1.54513,1.18305,1.86032,9.22942e-05,9.22942e-05,9.22942e-05
20,766.227,1.58485,1.3279,1.86681,0.73176,0.73327,0.7353,0.41464,1.53478,1.17673,1.86859,9.14405e-05,9.14405e-05,9.14405e-05
21,808.513,1.58444,1.33377,1.86339,0.81312,0.66539,0.74998,0.40588,1.55282,1.16925,1.85989,9.05463e-05,9.05463e-05,9.05463e-05
